,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2014 Hyundai Elantra SX,ahmedabad,36000 km•  Petrol•   Thaltej,6.9,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Petrol'],['36000']
1,2013 Honda Amaze S i-Dtech,ahmedabad,78000 km•  Diesel•   Ambawadi,3.75,sedan,manual,dealer,first-owner,white,['2013'],['Honda'],['Diesel'],['78000']
2,2015 Hyundai Verna 1.4 EX,ahmedabad,64000 km•  Diesel•   Thaltej,5.25,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Diesel'],['64000']
3,2015 Hyundai Elantra 1.6 SX,ahmedabad,65000 km•  Diesel•   Pragatinagar,6.95,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Diesel'],['65000']
4,2013 Honda Amaze SX i-DTEC,ahmedabad,69000 km•  Diesel•   Pragatinagar,3.6,sedan,manual,dealer,first-owner,white,['2013'],['Honda'],['Diesel'],['69000']
5,2013 Maruti Swift Dzire Vdi BSIV,ahmedabad,55000 km•  Diesel•   Ghatlodia,4,sedan,manual,dealer,first-owner,white,['2013'],['Maruti'],['Diesel'],['55000']
6,2016 Honda City i DTec VX Option,ahmedabad,60000 km•  Diesel•   Ambawadi,7.51,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Diesel'],['60000']
7,2014 Hyundai Verna 1.6 CRDi EX MT,ahmedabad,58000 km•  Diesel•   Ambawadi,5.25,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Diesel'],['58000']
8,2013 Toyota Corolla Altis Aero D 4D J,ahmedabad,76000 km•  Diesel•   Ambawadi,5.25,sedan,manual,dealer,first-owner,white,['2013'],['Toyota'],['Diesel'],['76000']
9,2017 Skoda Rapid 1.6 MPI Style Plus,ahmedabad,22001 km•  Petrol•   Navrangpura,7.9,sedan,manual,dealer,first-owner,white,['2017'],['Skoda'],['Petrol'],['22001']
10,2018 Toyota Etios GD,ahmedabad,28000 km•  Diesel•   Ambawadi,7,sedan,manual,dealer,first-owner,white,['2018'],['Toyota'],['Diesel'],['28000']
11,2015 Maruti Swift Dzire VDI,ahmedabad,50000 km•  Diesel•   Pragatinagar,5.15,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Diesel'],['50000']
12,2016 Hyundai Xcent 1.2 Kappa S Celebration Edition,ahmedabad,20000 km•  Petrol•   Navrangpura,4.9,sedan,manual,dealer,first-owner,white,['2016'],['Hyundai'],['Petrol'],['20000']
13,2016 Hyundai Verna 1.6 CRDi SX,ahmedabad,51000 km•  Diesel•   Pragatinagar,7.1,sedan,manual,dealer,first-owner,white,['2016'],['Hyundai'],['Diesel'],['51000']
14,2016 Honda City i DTec V,ahmedabad,55000 km•  Diesel•   Alampur,7.45,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Diesel'],['55000']
15,2014 Honda City i DTec VX Option,ahmedabad,59000 km•  Diesel•   Navrangpura,6.9,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Diesel'],['59000']
16,2019 Honda City i VTEC VX,ahmedabad,4002 km•  Petrol•   Alampur,11.9,sedan,manual,dealer,first-owner,white,['2019'],['Honda'],['Petrol'],['4002']
17,2016 Maruti Ciaz VDi,ahmedabad,47400 km•  Diesel•   Navrangpura,6.25,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],['47400']
18,2018 Maruti Ciaz 1.4 Alpha,ahmedabad,22635 km•  Petrol•   Ramdev Nagar,8,sedan,manual,dealer,first-owner,white,['2018'],['Maruti'],['Petrol'],['22635']
19,2018 Toyota Etios 1.4 GD,ahmedabad,28000 km•  Diesel•   Ambawadi,7,sedan,manual,dealer,first-owner,white,['2018'],['Toyota'],['Diesel'],['28000']
20,2016 Hyundai Xcent 1.1 CRDi S,ahmedabad,40000 km•  Diesel,4.5,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Diesel'],['40000']
21,2018 Honda Amaze S Diesel BSIV,ahmedabad,50000 km•  Diesel,5.7,sedan,manual,individual,first-owner,white,['2018'],['Honda'],['Diesel'],['50000']
22,2014 Hyundai Elantra S,ahmedabad,72000 km•  Petrol,5.5,sedan,manual,individual,first-owner,white,['2014'],['Hyundai'],['Petrol'],['72000']
23,2015 Toyota Etios GD,ahmedabad,49000 km•  Diesel,3.5,sedan,manual,individual,first-owner,white,['2015'],['Toyota'],['Diesel'],['49000']
24,2017 Honda City i-DTEC V,ahmedabad,68000 km•  Diesel,8.5,sedan,manual,individual,first-owner,white,['2017'],['Honda'],['Diesel'],['68000']
25,2013 Chevrolet Sail LS ABS,ahmedabad,80000 km•  Diesel,2.5,sedan,manual,individual,first-owner,white,['2013'],['Chevrolet'],['Diesel'],['80000']
26,2016 Honda City i DTec VX Option,ahmedabad,70000 km•  Diesel,7.75,sedan,manual,individual,first-owner,white,['2016'],['Honda'],['Diesel'],['70000']
27,2014 Maruti Swift Dzire VDI,ahmedabad,98000 km•  Diesel,4.8,sedan,manual,individual,first-owner,white,['2014'],['Maruti'],['Diesel'],['98000']
28,2016 Toyota Corolla Altis D-4D J,ahmedabad,80000 km•  Diesel,9.51,sedan,manual,individual,first-owner,white,['2016'],['Toyota'],['Diesel'],['80000']
29,2016 Hyundai Verna 1.6 VTVT SX,ahmedabad,68000 km•  Petrol,7,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Petrol'],['68000']
30,2016 Hyundai Verna 1.4 CRDi,ahmedabad,67000 km•  Diesel,7,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Diesel'],['67000']
31,2013 Honda City S,ahmedabad,77000 km•  Petrol,5.5,sedan,manual,individual,first-owner,white,['2013'],['Honda'],['Petrol'],['77000']
32,2015 Honda City i VTEC V,ahmedabad,77600 km•  Petrol,7,sedan,manual,individual,first-owner,white,['2015'],['Honda'],['Petrol'],['77600']
33,2014 Maruti Swift Dzire LDI,ahmedabad,55500 km•  Diesel•   Navrangpura,3.9,sedan,manual,dealer,second-owner,white,['2014'],['Maruti'],['Diesel'],['55500']
34,2015 Maruti Ciaz ZDi,ahmedabad,52000 km•  Diesel•   Thaltej,5.9,sedan,manual,dealer,second-owner,white,['2015'],['Maruti'],['Diesel'],['52000']
35,2013 Hyundai Verna 1.6 SX,ahmedabad,57241 km•  Diesel•   Navrangpura,4.75,sedan,manual,dealer,second-owner,white,['2013'],['Hyundai'],['Diesel'],['57241']
36,2017 Honda City 1.5 V MT,ahmedabad,19003 km•  Petrol•   Pragatinagar,8.4,sedan,manual,dealer,second-owner,white,['2017'],['Honda'],['Petrol'],['19003']
37,2008 Maruti Swift Dzire LXi,ahmedabad,65000 km•  Petrol•   Pragatinagar,2.6,sedan,manual,dealer,second-owner,white,['2008'],['Maruti'],['Petrol'],['65000']
38,2008 Honda Civic 1.8 V MT,ahmedabad,61000 km•  Petrol•   Thaltej,3.5,sedan,manual,dealer,second-owner,white,['2008'],['Honda'],['Petrol'],['61000']
39,2012 Hyundai Verna 1.6 CRDi EX MT,ahmedabad,70000 km•  Diesel•   Thaltej,4.5,sedan,manual,dealer,second-owner,white,['2012'],['Hyundai'],['Diesel'],['70000']
40,2015 Hyundai Verna 1.6 VTVT S,ahmedabad,77000 km•  Petrol•   Thaltej,5.5,sedan,manual,dealer,second-owner,white,['2015'],['Hyundai'],['Petrol'],['77000']
41,2008 Honda City GXi,ahmedabad,80000 km•  Petrol•   Naranpura,2.3,sedan,manual,dealer,second-owner,white,['2008'],['Honda'],['Petrol'],['80000']
42,2012 Hyundai Verna SX Diesel,ahmedabad,68000 km•  Diesel•   Naroda,4.5,sedan,manual,dealer,second-owner,white,['2012'],['Hyundai'],['Diesel'],['68000']
43,2011 Maruti SX4 VDI,ahmedabad,67000 km•  Diesel•   Isanpur,2.95,sedan,manual,dealer,second-owner,white,['2011'],['Maruti'],['Diesel'],['67000']
44,2012 Volkswagen Vento IPL II Diesel Trendline,ahmedabad,62000 km•  Diesel•   Ghatlodia,2.75,sedan,manual,dealer,second-owner,white,['2012'],['Volkswagen'],['Diesel'],['62000']
45,2012 Honda City Corporate Edition,ahmedabad,73000 km•  Petrol•   Naranpura,4.35,sedan,manual,dealer,second-owner,white,['2012'],['Honda'],['Petrol'],['73000']
46,2014 Chevrolet Sail 1.2 LS,ahmedabad,40000 km•  Petrol,2.5,sedan,manual,individual,second-owner,white,['2014'],['Chevrolet'],['Petrol'],['40000']
47,2011 Hyundai Accent Executive CNG,ahmedabad,120000 km•  CNG,1.5,sedan,manual,individual,second-owner,white,['2011'],['Hyundai'],['CNG'],['120000']
48,2011 Hyundai Accent Executive,ahmedabad,100000 km•  Petrol,2.5,sedan,manual,individual,second-owner,white,['2011'],['Hyundai'],['Petrol'],['100000']
