,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2019 Honda City V MT,bangalore,15475 km•  Petrol•   Bangalore City,10.75,sedan,manual,dealer,first-owner,white,['2019'],['Honda'],['Petrol'],['15475']
1,2016 Maruti Ciaz ZDi Plus SHVS,bangalore,35102 km•  Diesel•   BTM Layout,8.65,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],['35102']
2,2014 Hyundai Verna 1.6 SX CRDi (O),bangalore,81000 km•  Diesel•   Maruthi Nagar,6.85,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Diesel'],['81000']
3,2017 Honda City i VTEC V,bangalore,28000 km•  Petrol•   Adugodi,9.25,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['28000']
4,2013 Hyundai Verna 1.6 SX CRDi (O),bangalore,82474 km•  Diesel•   HBR Layout,6.25,sedan,manual,dealer,first-owner,white,['2013'],['Hyundai'],['Diesel'],['82474']
5,2016 Volkswagen Vento 1.6 Highline,bangalore,20875 km•  Petrol•   HSR Layout,7.95,sedan,manual,dealer,first-owner,white,['2016'],['Volkswagen'],['Petrol'],['20875']
6,2016 Volkswagen Vento 1.6 Highline BSIV,bangalore,36615 km•  Petrol•   BTM Layout,7.95,sedan,manual,dealer,first-owner,white,['2016'],['Volkswagen'],['Petrol'],['36615']
7,2011 Maruti SX4 ZXI MT BSIV,bangalore,50000 km•  Petrol•   Nagarbhavi,3.75,sedan,manual,dealer,first-owner,white,['2011'],['Maruti'],['Petrol'],['50000']
8,2019 Honda City i VTEC VX,bangalore,9000 km•  Petrol•   Adugodi,13.45,sedan,manual,dealer,first-owner,white,['2019'],['Honda'],['Petrol'],['9000']
9,2017 Skoda Rapid 1.6 MPI Ambition Plus Alloy,bangalore,41682 km•  Petrol•   HBR Layout,7.5,sedan,manual,dealer,first-owner,white,['2017'],['Skoda'],['Petrol'],['41682']
10,2015 Hyundai Verna 1.6 CRDi S,bangalore,54840 km•  Diesel•   Singasandra,7.65,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Diesel'],['54840']
11,2018 Honda City V MT,bangalore,14939 km•  Petrol•   Yeswanthpura,9.75,sedan,manual,dealer,first-owner,white,['2018'],['Honda'],['Petrol'],['14939']
12,2019 Honda Amaze V Petrol BSIV,bangalore,20000 km•  Petrol•   Banaswadi,8.25,sedan,manual,dealer,first-owner,white,['2019'],['Honda'],['Petrol'],['20000']
13,2014 Skoda Rapid 1.6 MPI Ambition Plus,bangalore,65000 km•  Petrol•   JP Nagar III Phase,5.75,sedan,manual,dealer,first-owner,white,['2014'],['Skoda'],['Petrol'],['65000']
14,2006 Honda City GXi,bangalore,66000 km•  Petrol•   Bannerghatta Road,2.4,sedan,manual,dealer,first-owner,white,['2006'],['Honda'],['Petrol'],['66000']
15,2016 Maruti Swift Dzire VDI,bangalore,84000 km•  Diesel•   H.K.P. Road,7.25,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],['84000']
16,2007 Honda City EXi,bangalore,97172 km•  Petrol•   HSR Layout,2.65,sedan,manual,dealer,first-owner,white,['2007'],['Honda'],['Petrol'],['97172']
17,2014 Skoda Rapid 1.6 MPI Ambition Plus Alloy,bangalore,62000 km•  Petrol•   JP Nagar VIII phase,6.25,sedan,manual,dealer,first-owner,white,['2014'],['Skoda'],['Petrol'],['62000']
18,2014 Skoda Rapid 1.6 MPI Ambition Plus,bangalore,62000 km•  Petrol•   BTM Layout,6.19,sedan,manual,dealer,first-owner,white,['2014'],['Skoda'],['Petrol'],['62000']
19,2017 Honda City i-VTEC ZX,bangalore,12729 km•  Petrol•   Singasandra,11.38,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['12729']
20,2016 Honda City i VTEC V,bangalore,35000 km•  Petrol,7.25,sedan,manual,individual,first-owner,white,['2016'],['Honda'],['Petrol'],['35000']
21,2010 Maruti Swift Dzire VXi,bangalore,42000 km•  Petrol,3.9,sedan,manual,individual,first-owner,white,['2010'],['Maruti'],['Petrol'],['42000']
22,2012 Skoda Rapid 1.6 TDI Elegance,bangalore,138000 km•  Diesel,4.4,sedan,manual,individual,first-owner,white,['2012'],['Skoda'],['Diesel'],['138000']
23,2016 Ford Figo Aspire 1.5 TDCi Titanium Plus,bangalore,80500 km•  Diesel,6,sedan,manual,individual,first-owner,white,['2016'],['Ford'],['Diesel'],['80500']
