,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2018 Skoda Octavia 2.0 TDI MT Style,chennai,28000 km•  Diesel•   Medavakkam,19.5,sedan,manual,dealer,first-owner,white,['2018'],['Skoda'],['Diesel'],['28000']
1,2015 Volkswagen Jetta 1.4 TSI Comfortline,chennai,23000 km•  Petrol•   Anna Nagar,10.5,sedan,manual,dealer,first-owner,white,['2015'],['Volkswagen'],['Petrol'],['23000']
2,2015 Skoda Rapid 1.6 MPI Style Plus,chennai,49000 km•  Petrol•   Medavakkam,5.65,sedan,manual,dealer,first-owner,white,['2015'],['Skoda'],['Petrol'],['49000']
3,2019 Volkswagen Ameo Cup Edition Comfortline,chennai,8000 km•  Petrol•   OMR ( Old Mahabalipuram Rd ),6.7,sedan,manual,dealer,first-owner,white,['2019'],['Volkswagen'],['Petrol'],['8000']
4,2015 Honda City V MT Diesel,chennai,52000 km•  Diesel•   Manapakkam,6.9,sedan,manual,dealer,first-owner,white,['2015'],['Honda'],['Diesel'],['52000']
5,2017 Nissan Sunny XL,chennai,12000 km•  Petrol•   Medavakkam,6.5,sedan,manual,dealer,first-owner,white,['2017'],['Nissan'],['Petrol'],['12000']
6,2012 Hyundai Verna SX Opt Diesel,chennai,55000 km•  Diesel•   Medavakkam,5.95,sedan,manual,dealer,first-owner,white,['2012'],['Hyundai'],['Diesel'],['55000']
7,2013 Toyota Etios VD,chennai,75000 km•  Diesel•   Medavakkam,5.7,sedan,manual,dealer,first-owner,white,['2013'],['Toyota'],['Diesel'],['75000']
8,2016 Maruti Swift Dzire LXI Optional-O,chennai,33526 km•  Petrol•   Kattupakkam,5.7,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Petrol'],['33526']
9,2016 Maruti Swift Dzire LXI Option,chennai,33200 km•  Petrol•   All India Radio,5.54,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Petrol'],['33200']
10,2017 Honda City i VTEC S,chennai,57000 km•  Petrol•   Adambakkam,7.85,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['57000']
11,2018 Skoda Rapid 1.5 TDI Style BSIV,chennai,59000 km•  Diesel•   Thygaraya Nagar,9,sedan,manual,dealer,first-owner,white,['2018'],['Skoda'],['Diesel'],['59000']
12,2016 Toyota Etios GD,chennai,59000 km•  Diesel•   Thygaraya Nagar,6.5,sedan,manual,dealer,first-owner,white,['2016'],['Toyota'],['Diesel'],['59000']
13,2012 Maruti Swift Dzire LXi,chennai,28000 km•  Petrol•   Adambakkam,4.95,sedan,manual,dealer,first-owner,white,['2012'],['Maruti'],['Petrol'],['28000']
