,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2018 Maruti Ciaz Alpha,delhi-ncr,20000 km•  Petrol•   Naraina,9.25,sedan,manual,dealer,first-owner,white,['2018'],['Maruti'],['Petrol'],['20000']
1,2018 Honda City 1.5 V MT,delhi-ncr,18000 km•  Petrol•   Defence Colony,8.85,sedan,manual,dealer,first-owner,white,['2018'],['Honda'],['Petrol'],['18000']
2,2018 Hyundai Verna VTVT 1.6 SX,delhi-ncr,16000 km•  Petrol•   Dhulsiras,9.45,sedan,manual,dealer,first-owner,white,['2018'],['Hyundai'],['Petrol'],['16000']
3,2017 Honda Amaze S Petrol BSIV,delhi-ncr,38737 km•  Petrol•   Ashok Nagar,4.5,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['38737']
4,2015 Hyundai Verna 1.6 VTVT S Option,delhi-ncr,36000 km•  Petrol•   Faridabad Sector 9,6.15,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Petrol'],"['36000', '9']"
5,2017 Hyundai Xcent 1.2 VTVT SX Option,delhi-ncr,20840 km•  Petrol•   Mathura Road Faridabad,5.35,sedan,manual,dealer,first-owner,white,['2017'],['Hyundai'],['Petrol'],['20840']
6,2017 Honda City V MT,delhi-ncr,55000 km•  Petrol•   Sector 19,8.12,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],"['55000', '19']"
7,2015 Honda Amaze S i-VTEC,delhi-ncr,45000 km•  Petrol•   Defence Colony,3.95,sedan,manual,dealer,first-owner,white,['2015'],['Honda'],['Petrol'],['45000']
8,2018 Skoda Rapid 1.6 MPI Ambition Plus,delhi-ncr,50000 km•  Petrol•   Rohini Sector-7,6.95,sedan,manual,dealer,first-owner,white,['2018'],['Skoda'],['Petrol'],"['50000', '7']"
9,2014 Honda Amaze S i-VTEC,delhi-ncr,49000 km•  Petrol•   Chittranjan Park,3.85,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Petrol'],['49000']
10,2016 Toyota Corolla Altis Diesel D4DGL,delhi-ncr,11500 km•  Diesel•   Subhash Nagar,13.5,sedan,manual,dealer,first-owner,white,['2016'],['Toyota'],['Diesel'],['11500']
11,2012 Hyundai Verna SX,delhi-ncr,58577 km•  Petrol•   Mathura Road Faridabad,4.35,sedan,manual,dealer,first-owner,white,['2012'],['Hyundai'],['Petrol'],['58577']
12,2013 Hyundai Verna CRDi 1.6 SX,delhi-ncr,63454 km•  Diesel•   Faridabad,4.75,sedan,manual,dealer,first-owner,white,['2013'],['Hyundai'],['Diesel'],['63454']
13,2012 Toyota Corolla Altis Diesel D4DG,delhi-ncr,53000 km•  Diesel•   Dhulsiras,5.35,sedan,manual,dealer,first-owner,white,['2012'],['Toyota'],['Diesel'],['53000']
14,2014 Honda Amaze S i-Dtech,delhi-ncr,57258 km•  Diesel•   Bengali Market,3.75,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Diesel'],['57258']
15,2010 Hyundai Accent GLE,delhi-ncr,77403 km•  Petrol•   Mathura Road Faridabad,1.62,sedan,manual,dealer,first-owner,white,['2010'],['Hyundai'],['Petrol'],['77403']
16,2011 Maruti Swift Dzire VXi,delhi-ncr,125000 km•  Petrol•   Patel Nagar,2.85,sedan,manual,dealer,first-owner,white,['2011'],['Maruti'],['Petrol'],['125000']
17,2016 Maruti Swift Dzire LXI 1.2 BS IV,delhi-ncr,61483 km•  Petrol•   Pitampura,4.5Benefits of Trustmark cars7 Days Shield100% Repair for 7 daysKnow More6 months WarrantyOn engine & transmissionKnow More217 Quality ChecksExpert Check and ReportKnow MoreBook Test DriveAt home for Rs 149 OnlyKnow More6 months Warranty  • Test drive at Home @ Rs 149,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Petrol'],['61483']
18,2015 Hyundai Verna 1.6 VTVT S,delhi-ncr,48505 km•  Petrol•   Faridabad,6,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Petrol'],['48505']
19,2019 Hyundai Verna VTVT 1.6 SX,delhi-ncr,6000 km•  Petrol•   Rohini Sector 25,9.4,sedan,manual,dealer,first-owner,white,['2019'],['Hyundai'],['Petrol'],"['6000', '25']"
20,2016 Tata Indigo Emax CNG GLS,delhi-ncr,110000 km•  CNG,2,sedan,manual,individual,first-owner,white,['2016'],['Tata'],['CNG'],['110000']
21,2012 Chevrolet Optra Magnum 1.6 LT Petrol,delhi-ncr,39000 km•  Petrol,3.5,sedan,manual,individual,first-owner,white,['2012'],['Chevrolet'],['Petrol'],['39000']
22,2012 Volkswagen Jetta 2.0L TDI Trendline,delhi-ncr,50000 km•  Diesel,4.25,sedan,manual,individual,first-owner,white,['2012'],['Volkswagen'],['Diesel'],['50000']
23,2012 Hyundai Verna 1.6 SX,delhi-ncr,74000 km•  Diesel,4.11,sedan,manual,individual,first-owner,white,['2012'],['Hyundai'],['Diesel'],['74000']
24,2014 Honda Amaze S i-Vtech,delhi-ncr,40000 km•  Petrol,4,sedan,manual,individual,first-owner,white,['2014'],['Honda'],['Petrol'],['40000']
25,2018 Maruti Swift Dzire ZDI,delhi-ncr,50000 km•  Diesel,7,sedan,manual,individual,first-owner,white,['2018'],['Maruti'],['Diesel'],['50000']
26,2019 Tata Zest Revotron 1.2T XE,delhi-ncr,30000 km•  Petrol,4,sedan,manual,individual,first-owner,white,['2019'],['Tata'],['Petrol'],['30000']
27,2017 Tata Zest Revotron 1.2T XM,delhi-ncr,17800 km•  Petrol,3.91,sedan,manual,individual,first-owner,white,['2017'],['Tata'],['Petrol'],['17800']
28,2017 Honda City i VTEC V,delhi-ncr,9300 km•  Petrol,8.99,sedan,manual,individual,first-owner,white,['2017'],['Honda'],['Petrol'],['9300']
29,2019 Maruti Swift Dzire LXI 1.2 BS IV,delhi-ncr,100000 km•  Petrol,4.5,sedan,manual,individual,first-owner,white,['2019'],['Maruti'],['Petrol'],['100000']
30,2013 Chevrolet Cruze LT,delhi-ncr,50000 km•  Diesel,4,sedan,manual,individual,first-owner,white,['2013'],['Chevrolet'],['Diesel'],['50000']
31,2019 Maruti Ciaz 1.3 Alpha,delhi-ncr,30000 km•  Diesel,9,sedan,manual,individual,first-owner,white,['2019'],['Maruti'],['Diesel'],['30000']
32,2017 Maruti Swift Dzire ZXI Plus BS IV,delhi-ncr,42700 km•  Petrol,6,sedan,manual,individual,first-owner,white,['2017'],['Maruti'],['Petrol'],['42700']
33,2013 Maruti Swift Dzire VDI,delhi-ncr,60000 km•  Diesel,4.25,sedan,manual,individual,first-owner,white,['2013'],['Maruti'],['Diesel'],['60000']
34,2015 Skoda Octavia Ambition 1.4 TSI MT,delhi-ncr,35000 km•  Petrol,9.2,sedan,manual,individual,first-owner,white,['2015'],['Skoda'],['Petrol'],['35000']
35,2013 Hyundai Verna 1.6 SX,delhi-ncr,77000 km•  Diesel,4.85,sedan,manual,individual,first-owner,white,['2013'],['Hyundai'],['Diesel'],['77000']
