,CarName,city,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven,Locality
0,2014 Hyundai Elantra SX,ahmedabad,6.9,sedan,manual,dealer,first-owner,white,2014,Hyundai,Petrol,36000.0,Thaltej
1,2013 Honda Amaze S i-Dtech,ahmedabad,3.75,sedan,manual,dealer,first-owner,white,2013,Honda,Diesel,78000.0,Ambawadi
2,2015 Hyundai Verna 1.4 EX,ahmedabad,5.25,sedan,manual,dealer,first-owner,white,2015,Hyundai,Diesel,64000.0,Thaltej
3,2015 Hyundai Elantra 1.6 SX,ahmedabad,6.95,sedan,manual,dealer,first-owner,white,2015,Hyundai,Diesel,65000.0,Pragatinagar
4,2013 Honda Amaze SX i-DTEC,ahmedabad,3.6,sedan,manual,dealer,first-owner,white,2013,Honda,Diesel,69000.0,Pragatinagar
5,2013 Maruti Swift Dzire Vdi BSIV,ahmedabad,4.0,sedan,manual,dealer,first-owner,white,2013,Maruti,Diesel,55000.0,Ghatlodia
6,2016 Honda City i DTec VX Option,ahmedabad,7.51,sedan,manual,dealer,first-owner,white,2016,Honda,Diesel,60000.0,Ambawadi
7,2014 Hyundai Verna 1.6 CRDi EX MT,ahmedabad,5.25,sedan,manual,dealer,first-owner,white,2014,Hyundai,Diesel,58000.0,Ambawadi
8,2013 Toyota Corolla Altis Aero D 4D J,ahmedabad,5.25,sedan,manual,dealer,first-owner,white,2013,Toyota,Diesel,76000.0,Ambawadi
9,2017 Skoda Rapid 1.6 MPI Style Plus,ahmedabad,7.9,sedan,manual,dealer,first-owner,white,2017,Skoda,Petrol,22001.0,Navrangpura
10,2018 Toyota Etios GD,ahmedabad,7.0,sedan,manual,dealer,first-owner,white,2018,Toyota,Diesel,28000.0,Ambawadi
11,2015 Maruti Swift Dzire VDI,ahmedabad,5.15,sedan,manual,dealer,first-owner,white,2015,Maruti,Diesel,50000.0,Pragatinagar
12,2016 Hyundai Xcent 1.2 Kappa S Celebration Edition,ahmedabad,4.9,sedan,manual,dealer,first-owner,white,2016,Hyundai,Petrol,20000.0,Navrangpura
13,2016 Hyundai Verna 1.6 CRDi SX,ahmedabad,7.1,sedan,manual,dealer,first-owner,white,2016,Hyundai,Diesel,51000.0,Pragatinagar
14,2016 Honda City i DTec V,ahmedabad,7.45,sedan,manual,dealer,first-owner,white,2016,Honda,Diesel,55000.0,Alampur
15,2014 Honda City i DTec VX Option,ahmedabad,6.9,sedan,manual,dealer,first-owner,white,2014,Honda,Diesel,59000.0,Navrangpura
16,2019 Honda City i VTEC VX,ahmedabad,11.9,sedan,manual,dealer,first-owner,white,2019,Honda,Petrol,4002.0,Alampur
17,2016 Maruti Ciaz VDi,ahmedabad,6.25,sedan,manual,dealer,first-owner,white,2016,Maruti,Diesel,47400.0,Navrangpura
18,2018 Maruti Ciaz 1.4 Alpha,ahmedabad,8.0,sedan,manual,dealer,first-owner,white,2018,Maruti,Petrol,22635.0,Ramdev Nagar
19,2018 Toyota Etios 1.4 GD,ahmedabad,7.0,sedan,manual,dealer,first-owner,white,2018,Toyota,Diesel,28000.0,Ambawadi
20,2016 Hyundai Xcent 1.1 CRDi S,ahmedabad,4.5,sedan,manual,individual,first-owner,white,2016,Hyundai,Diesel,40000.0,
21,2018 Honda Amaze S Diesel BSIV,ahmedabad,5.7,sedan,manual,individual,first-owner,white,2018,Honda,Diesel,50000.0,
22,2014 Hyundai Elantra S,ahmedabad,5.5,sedan,manual,individual,first-owner,white,2014,Hyundai,Petrol,72000.0,
23,2015 Toyota Etios GD,ahmedabad,3.5,sedan,manual,individual,first-owner,white,2015,Toyota,Diesel,49000.0,
24,2017 Honda City i-DTEC V,ahmedabad,8.5,sedan,manual,individual,first-owner,white,2017,Honda,Diesel,68000.0,
25,2013 Chevrolet Sail LS ABS,ahmedabad,2.5,sedan,manual,individual,first-owner,white,2013,Chevrolet,Diesel,80000.0,
26,2016 Honda City i DTec VX Option,ahmedabad,7.75,sedan,manual,individual,first-owner,white,2016,Honda,Diesel,70000.0,
27,2014 Maruti Swift Dzire VDI,ahmedabad,4.8,sedan,manual,individual,first-owner,white,2014,Maruti,Diesel,98000.0,
28,2016 Toyota Corolla Altis D-4D J,ahmedabad,9.51,sedan,manual,individual,first-owner,white,2016,Toyota,Diesel,80000.0,
29,2016 Hyundai Verna 1.6 VTVT SX,ahmedabad,7.0,sedan,manual,individual,first-owner,white,2016,Hyundai,Petrol,68000.0,
30,2016 Hyundai Verna 1.4 CRDi,ahmedabad,7.0,sedan,manual,individual,first-owner,white,2016,Hyundai,Diesel,67000.0,
31,2013 Honda City S,ahmedabad,5.5,sedan,manual,individual,first-owner,white,2013,Honda,Petrol,77000.0,
32,2015 Honda City i VTEC V,ahmedabad,7.0,sedan,manual,individual,first-owner,white,2015,Honda,Petrol,77600.0,
33,2014 Maruti Swift Dzire LDI,ahmedabad,3.9,sedan,manual,dealer,second-owner,white,2014,Maruti,Diesel,55500.0,Navrangpura
34,2015 Maruti Ciaz ZDi,ahmedabad,5.9,sedan,manual,dealer,second-owner,white,2015,Maruti,Diesel,52000.0,Thaltej
35,2013 Hyundai Verna 1.6 SX,ahmedabad,4.75,sedan,manual,dealer,second-owner,white,2013,Hyundai,Diesel,57241.0,Navrangpura
36,2017 Honda City 1.5 V MT,ahmedabad,8.4,sedan,manual,dealer,second-owner,white,2017,Honda,Petrol,19003.0,Pragatinagar
37,2008 Maruti Swift Dzire LXi,ahmedabad,2.6,sedan,manual,dealer,second-owner,white,2008,Maruti,Petrol,65000.0,Pragatinagar
38,2008 Honda Civic 1.8 V MT,ahmedabad,3.5,sedan,manual,dealer,second-owner,white,2008,Honda,Petrol,61000.0,Thaltej
39,2012 Hyundai Verna 1.6 CRDi EX MT,ahmedabad,4.5,sedan,manual,dealer,second-owner,white,2012,Hyundai,Diesel,70000.0,Thaltej
40,2015 Hyundai Verna 1.6 VTVT S,ahmedabad,5.5,sedan,manual,dealer,second-owner,white,2015,Hyundai,Petrol,77000.0,Thaltej
41,2008 Honda City GXi,ahmedabad,2.3,sedan,manual,dealer,second-owner,white,2008,Honda,Petrol,80000.0,Naranpura
42,2012 Hyundai Verna SX Diesel,ahmedabad,4.5,sedan,manual,dealer,second-owner,white,2012,Hyundai,Diesel,68000.0,Naroda
43,2011 Maruti SX4 VDI,ahmedabad,2.95,sedan,manual,dealer,second-owner,white,2011,Maruti,Diesel,67000.0,Isanpur
44,2012 Volkswagen Vento IPL II Diesel Trendline,ahmedabad,2.75,sedan,manual,dealer,second-owner,white,2012,Volkswagen,Diesel,62000.0,Ghatlodia
45,2012 Honda City Corporate Edition,ahmedabad,4.35,sedan,manual,dealer,second-owner,white,2012,Honda,Petrol,73000.0,Naranpura
46,2014 Chevrolet Sail 1.2 LS,ahmedabad,2.5,sedan,manual,individual,second-owner,white,2014,Chevrolet,Petrol,40000.0,
47,2011 Hyundai Accent Executive CNG,ahmedabad,1.5,sedan,manual,individual,second-owner,white,2011,Hyundai,CNG,120000.0,
48,2011 Hyundai Accent Executive,ahmedabad,2.5,sedan,manual,individual,second-owner,white,2011,Hyundai,Petrol,100000.0,
49,2010 Hyundai Accent Executive CNG,ahmedabad,2.25,sedan,manual,dealer,third-owner-or-more,white,2010,Hyundai,CNG,59000.0,Thaltej
50,2008 Hyundai Accent GLE 2,ahmedabad,1.31,sedan,manual,dealer,third-owner-or-more,white,2008,Hyundai,Petrol,71000.0,Ambawadi
51,2006 Hyundai Accent GLE,ahmedabad,1.4,sedan,manual,individual,third-owner-or-more,white,2006,Hyundai,Petrol,90000.0,
52,2018 Honda City i VTEC V,ahmedabad,9.9,sedan,manual,dealer,first-owner,silver,2018,Honda,Petrol,6100.0,Navrangpura
53,2016 Honda City i DTEC VX Option,ahmedabad,7.0,sedan,manual,dealer,first-owner,silver,2016,Honda,Diesel,60358.0,Ramdev Nagar
54,2017 Ford Figo Aspire Titanium BSIV,ahmedabad,5.4,sedan,manual,dealer,first-owner,silver,2017,Ford,Petrol,18000.0,Navrangpura
55,2015 Volkswagen Vento 1.5 TDI Comfortline,ahmedabad,6.11,sedan,manual,dealer,first-owner,silver,2015,Volkswagen,Diesel,33000.0,Ambawadi
56,2016 Ford Figo Aspire Ambiente Diesel,ahmedabad,4.25,sedan,manual,dealer,first-owner,silver,2016,Ford,Diesel,38500.0,Navrangpura
57,2012 Honda City VTEC,ahmedabad,4.75,sedan,manual,dealer,first-owner,silver,2012,Honda,Petrol,55637.0,Navrangpura
58,2014 Honda City i DTEC SV,ahmedabad,5.4,sedan,manual,dealer,first-owner,silver,2014,Honda,Diesel,70006.0,Pragatinagar
59,2016 Maruti Ciaz VDi Plus SHVS,ahmedabad,6.1,sedan,manual,dealer,first-owner,silver,2016,Maruti,Diesel,75000.0,Pragatinagar
60,2015 Honda City 1.5 V MT,ahmedabad,6.4,sedan,manual,dealer,first-owner,silver,2015,Honda,Petrol,55003.0,Pragatinagar
61,2018 Hyundai Verna CRDi 1.6 SX Option,ahmedabad,11.5,sedan,manual,dealer,first-owner,silver,2018,Hyundai,Diesel,22000.0,Ambli
62,2005 Hyundai Elantra GT,ahmedabad,2.49,sedan,manual,dealer,first-owner,silver,2005,Hyundai,Petrol,167423.0,Navrangpura
63,2015 Hyundai Xcent 1.2 VTVT SX Option,ahmedabad,4.9,sedan,manual,dealer,first-owner,silver,2015,Hyundai,Petrol,66000.0,Alampur
64,2019 Maruti Swift Dzire VXI 1.2 BS IV,ahmedabad,6.5,sedan,manual,dealer,first-owner,silver,2019,Maruti,Petrol,24800.0,Ghatlodia
65,2012 Skoda Laura Ambition 2.0 TDI CR MT,ahmedabad,3.75,sedan,manual,dealer,first-owner,silver,2012,Skoda,Diesel,59000.0,Naranpura
66,2010 Honda City 1.5 V MT,ahmedabad,3.9,sedan,manual,dealer,first-owner,silver,2010,Honda,Petrol,48000.0,Thaltej
67,2011 Hyundai Verna 1.6 SX,ahmedabad,3.99,sedan,manual,dealer,first-owner,silver,2011,Hyundai,Diesel,51000.0,Naranpura Vistar
68,2018 Maruti Ciaz Alpha 1.5,ahmedabad,8.25,sedan,manual,dealer,first-owner,silver,2018,Maruti,Diesel,95000.0,Thaltej
69,2016 Maruti Ciaz VDi Plus SHVS,ahmedabad,6.25,sedan,manual,dealer,first-owner,silver,2016,Maruti,Diesel,58000.0,Naranpura Vistar
70,2012 Skoda Rapid 1.6 TDI Ambition,ahmedabad,3.5,sedan,manual,dealer,first-owner,silver,2012,Skoda,Diesel,59200.0,Naranpura
71,2009 Hyundai Accent GLE,ahmedabad,1.75,sedan,manual,dealer,first-owner,silver,2009,Hyundai,Petrol,55000.0,Navrangpura
72,2017 Maruti Swift Dzire VXI,ahmedabad,5.75,sedan,manual,individual,first-owner,silver,2017,Maruti,Petrol,18500.0,
73,2018 Maruti Ciaz 1.3 Sigma,ahmedabad,7.5,sedan,manual,individual,first-owner,silver,2018,Maruti,Diesel,14000.0,
74,2017 Hyundai Verna 1.6 SX VTVT,ahmedabad,8.25,sedan,manual,individual,first-owner,silver,2017,Hyundai,Petrol,35000.0,
75,2017 Hyundai Elantra 1.6 SX Option,ahmedabad,13.0,sedan,manual,individual,first-owner,silver,2017,Hyundai,Diesel,60000.0,
76,2019 Honda City Edge Edition SV,ahmedabad,9.75,sedan,manual,individual,first-owner,silver,2019,Honda,Petrol,10000.0,
77,2015 Honda Amaze EX i-Dtech,ahmedabad,4.2,sedan,manual,individual,first-owner,silver,2015,Honda,Diesel,74000.0,
78,2018 Nissan Sunny XE D,ahmedabad,5.2,sedan,manual,individual,first-owner,silver,2018,Nissan,Diesel,75000.0,
79,2013 Volkswagen Vento Diesel Highline,ahmedabad,4.0,sedan,manual,individual,first-owner,silver,2013,Volkswagen,Diesel,185000.0,
80,2012 Volkswagen Vento 1.5 TDI Highline,ahmedabad,3.15,sedan,manual,dealer,second-owner,silver,2012,Volkswagen,Diesel,70000.0,Pragatinagar
81,2007 Hyundai Verna XXi (Petrol),ahmedabad,1.99,sedan,manual,dealer,second-owner,silver,2007,Hyundai,Petrol,90000.0,Navrangpura
82,1998 Honda City V MT,ahmedabad,1.05,sedan,manual,dealer,second-owner,silver,1998,Honda,Petrol,70000.0,Pragatinagar
83,2011 Chevrolet Cruze LTZ,ahmedabad,3.5,sedan,manual,dealer,second-owner,silver,2011,Chevrolet,Diesel,94000.0,Ghatlodia
84,2011 Skoda Superb Elegance 1.8 TSI MT,ahmedabad,4.9,sedan,manual,dealer,second-owner,silver,2011,Skoda,Petrol,75000.0,Navrangpura
85,2012 Hyundai Verna 1.6 CRDI,ahmedabad,3.9,sedan,manual,dealer,second-owner,silver,2012,Hyundai,Diesel,61000.0,ahemdabad
86,2011 Maruti SX4 Vxi BSIV,ahmedabad,2.75,sedan,manual,dealer,second-owner,silver,2011,Maruti,Petrol,72000.0,Naranpura
87,2014 Honda Amaze EX i-Vtech,ahmedabad,4.3,sedan,manual,dealer,second-owner,silver,2014,Honda,Petrol,63000.0,Naroda
88,2009 Maruti SX4 Vxi BSIV,ahmedabad,2.5,sedan,manual,dealer,second-owner,silver,2009,Maruti,Petrol,74000.0,ahemdabad
89,2017 Volkswagen Ameo 1.5 TDI Comfortline,ahmedabad,5.25,sedan,manual,individual,second-owner,silver,2017,Volkswagen,Diesel,40000.0,
90,2012 Hyundai Verna 1.6 SX CRDi (O),ahmedabad,4.55,sedan,manual,individual,second-owner,silver,2012,Hyundai,Diesel,75000.0,
91,1999 Honda City 1.5 GXI,ahmedabad,1.25,sedan,manual,dealer,third-owner-or-more,silver,1999,Honda,Petrol,99000.0,Akota
92,2013 Honda City 1.5 E MT,ahmedabad,3.95,sedan,manual,dealer,first-owner,red,2013,Honda,Petrol,68000.0,Pragatinagar
93,2016 Honda City i DTec V,ahmedabad,6.5,sedan,manual,dealer,first-owner,red,2016,Honda,Diesel,48000.0,Navrangpura
94,2018 Honda Amaze S i-VTEC,ahmedabad,6.75,sedan,manual,dealer,first-owner,red,2018,Honda,Petrol,5300.0,ahemdabad
95,2017 Maruti Ciaz Delta Diesel,ahmedabad,7.75,sedan,manual,dealer,first-owner,red,2017,Maruti,Diesel,33000.0,ahemdabad
96,2017 Maruti Swift Dzire ZDI Plus,ahmedabad,8.5,sedan,manual,individual,first-owner,red,2017,Maruti,Diesel,60000.0,
