,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2013 Honda Amaze S Petrol,gurgaon,38872 km•  Petrol•   Sector 14,3.65,sedan,manual,dealer,first-owner,white,['2013'],['Honda'],['Petrol'],"['38872', '14']"
1,2012 Maruti Swift Dzire Vdi BSIV,gurgaon,85000 km•  Diesel•   Gurgaon,3.25,sedan,manual,dealer,first-owner,white,['2012'],['Maruti'],['Diesel'],['85000']
2,2016 Hyundai Xcent VTVT Plus ABS,gurgaon,29000 km•  Petrol•   Sarhaul,3.9,sedan,manual,dealer,first-owner,white,['2016'],['Hyundai'],['Petrol'],['29000']
3,2011 Volkswagen Vento 1.6 Trendline BSIV,gurgaon,36520 km•  Petrol•   Sector 6,3.25,sedan,manual,dealer,first-owner,white,['2011'],['Volkswagen'],['Petrol'],"['36520', '6']"
4,2010 Maruti Swift Dzire VDI,gurgaon,80000 km•  Diesel•   SHEETLA MATA ROAD,2.5,sedan,manual,dealer,first-owner,white,['2010'],['Maruti'],['Diesel'],['80000']
5,2009 Maruti Swift Dzire VXi,gurgaon,102000 km•  Petrol•   Badli,2,sedan,manual,dealer,first-owner,white,['2009'],['Maruti'],['Petrol'],['102000']
6,2016 Maruti Ciaz VDI SHVS,gurgaon,55363 km•  Diesel•   Sector 14,5.55,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],"['55363', '14']"
7,2010 Honda City 1.5 S MT,gurgaon,78000 km•  Petrol•   Sector 45,2.85,sedan,manual,dealer,first-owner,white,['2010'],['Honda'],['Petrol'],"['78000', '45']"
8,2014 Hyundai Verna 1.6 VTVT,gurgaon,39000 km•  Petrol•   Sarhaul,5.35,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Petrol'],['39000']
9,2016 Tata Indigo Emax CNG GLS,gurgaon,110000 km•  CNG,2,sedan,manual,individual,first-owner,white,['2016'],['Tata'],['CNG'],['110000']
10,2013 Maruti Swift Dzire VDI,gurgaon,60000 km•  Diesel,4.25,sedan,manual,individual,first-owner,white,['2013'],['Maruti'],['Diesel'],['60000']
11,2015 Skoda Octavia Ambition 1.4 TSI MT,gurgaon,35000 km•  Petrol,9.2,sedan,manual,individual,first-owner,white,['2015'],['Skoda'],['Petrol'],['35000']
12,2015 Honda Amaze S i-Vtech,gurgaon,54000 km•  Petrol,4.4,sedan,manual,individual,first-owner,white,['2015'],['Honda'],['Petrol'],['54000']
13,2016 Hyundai Xcent 1.2 Kappa S,gurgaon,80000 km•  Petrol,3.4,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Petrol'],['80000']
14,2019 Honda City VX MT,gurgaon,10000 km•  Petrol,10,sedan,manual,individual,first-owner,white,['2019'],['Honda'],['Petrol'],['10000']
15,2012 Maruti Swift Dzire VDI,gurgaon,105700 km•  Diesel,3.25,sedan,manual,individual,first-owner,white,['2012'],['Maruti'],['Diesel'],['105700']
16,2019 Hyundai Verna CRDi 1.4 EX,gurgaon,14000 km•  Diesel,9.5,sedan,manual,individual,first-owner,white,['2019'],['Hyundai'],['Diesel'],['14000']
17,2009 Maruti Swift Dzire VDi,gurgaon,177000 km•  Diesel•   null,1.8,sedan,manual,individual,first-owner,white,['2009'],['Maruti'],['Diesel'],['177000']
18,2011 Honda City 1.5 V MT Exclusive,gurgaon,60380 km•  Petrol•   Sector 6,3.6,sedan,manual,dealer,second-owner,white,['2011'],['Honda'],['Petrol'],"['60380', '6']"
19,2012 Maruti Swift Dzire VDi,gurgaon,61000 km•  Diesel,3.5,sedan,manual,individual,second-owner,white,['2012'],['Maruti'],['Diesel'],['61000']
20,2011 Volkswagen Vento Diesel Highline,gurgaon,95000 km•  Diesel,3.5,sedan,manual,individual,second-owner,white,['2011'],['Volkswagen'],['Diesel'],['95000']
21,2012 Skoda Rapid 1.6 TDI Ambition,gurgaon,168000 km•  Diesel,2.65,sedan,manual,individual,second-owner,white,['2012'],['Skoda'],['Diesel'],['168000']
