,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2015 Maruti Swift Dzire Vdi BSIV,hyderabad,52234 km•  Diesel•   Santh Nagar,6.55,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Diesel'],['52234']
1,2014 Maruti Swift Dzire VDI,hyderabad,45000 km•  Diesel•   Hyderabad,6.5,sedan,manual,dealer,first-owner,white,['2014'],['Maruti'],['Diesel'],['45000']
2,2009 Honda City 1.5 S MT,hyderabad,76640 km•  Petrol•   Basheerbagh,5,sedan,manual,dealer,first-owner,white,['2009'],['Honda'],['Petrol'],['76640']
3,2017 Maruti Swift Dzire VDI Optional,hyderabad,35000 km•  Diesel•   Madhapur,7.85,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],['35000']
4,2018 Honda City i-DTEC SV,hyderabad,28000 km•  Diesel•   Ramgopalpet,9.95,sedan,manual,dealer,first-owner,white,['2018'],['Honda'],['Diesel'],['28000']
5,2016 Maruti Swift Dzire LDI,hyderabad,121331 km•  Diesel•   Musheerabad DSO,4.8,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],['121331']
6,2017 Honda City V MT Exclusive,hyderabad,27321 km•  Petrol•   Golconda,8.75,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['27321']
7,2016 Honda City i DTec VX Option,hyderabad,51300 km•  Diesel•   Vidyanagar,8.85,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Diesel'],['51300']
8,2012 Maruti SX4 VDI,hyderabad,86000 km•  Diesel•   LB Nagar,3.35,sedan,manual,dealer,first-owner,white,['2012'],['Maruti'],['Diesel'],['86000']
9,2014 Maruti Ciaz VDi Plus,hyderabad,45498 km•  Diesel•   Gandhi Bhawan,6.85,sedan,manual,dealer,first-owner,white,['2014'],['Maruti'],['Diesel'],['45498']
10,2012 Toyota Corolla Altis Diesel D4DG,hyderabad,102978 km•  Diesel•   Nehrunagar,5.5,sedan,manual,dealer,first-owner,white,['2012'],['Toyota'],['Diesel'],['102978']
11,2012 Maruti SX4 ZDI,hyderabad,72000 km•  Diesel•   LB Nagar,4.25,sedan,manual,dealer,first-owner,white,['2012'],['Maruti'],['Diesel'],['72000']
12,2011 Chevrolet Cruze LTZ,hyderabad,94000 km•  Diesel•   Chandanagar,4.95,sedan,manual,dealer,first-owner,white,['2011'],['Chevrolet'],['Diesel'],['94000']
13,2008 Maruti Swift Dzire VDi,hyderabad,86000 km•  Diesel•   LB Nagar,3.15,sedan,manual,dealer,first-owner,white,['2008'],['Maruti'],['Diesel'],['86000']
14,2012 Hyundai Verna 1.6 CRDi EX MT,hyderabad,110721 km•  Diesel•   Golconda,4.35,sedan,manual,dealer,first-owner,white,['2012'],['Hyundai'],['Diesel'],['110721']
15,2011 Hyundai Verna CRDi SX,hyderabad,99694 km•  Diesel•   Golconda,4.75,sedan,manual,dealer,first-owner,white,['2011'],['Hyundai'],['Diesel'],['99694']
16,2012 Maruti SX4 ZDI,hyderabad,73000 km•  Diesel•   Hyderabad,3.95,sedan,manual,dealer,first-owner,white,['2012'],['Maruti'],['Diesel'],['73000']
17,2013 Toyota Etios GD,hyderabad,48000 km•  Diesel•   Madhapur,5.45,sedan,manual,dealer,first-owner,white,['2013'],['Toyota'],['Diesel'],['48000']
18,2015 Honda City V MT Diesel,hyderabad,80253 km•  Diesel•   LB Nagar,6.85,sedan,manual,dealer,first-owner,white,['2015'],['Honda'],['Diesel'],['80253']
19,2007 Hyundai Verna Transform VGT CRDi,hyderabad,112451 km•  Diesel•   Gandhi Bhawan,3.2,sedan,manual,dealer,first-owner,white,['2007'],['Hyundai'],['Diesel'],['112451']
20,2018 Maruti Swift Dzire LDI,hyderabad,70000 km•  Diesel,6,sedan,manual,individual,first-owner,white,['2018'],['Maruti'],['Diesel'],['70000']
21,2018 Maruti Swift Dzire LDI,hyderabad,58000 km•  Diesel,6,sedan,manual,individual,first-owner,white,['2018'],['Maruti'],['Diesel'],['58000']
22,2016 Hyundai Xcent 1.1 CRDi Base,hyderabad,132000 km•  Diesel,4,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Diesel'],['132000']
23,2017 Hyundai Xcent 1.2 CRDi SX Option,hyderabad,60000 km•  Diesel,5.5,sedan,manual,individual,first-owner,white,['2017'],['Hyundai'],['Diesel'],['60000']
24,2018 Hyundai Verna VTVT 1.6 SX,hyderabad,25000 km•  Petrol,9.45,sedan,manual,individual,first-owner,white,['2018'],['Hyundai'],['Petrol'],['25000']
25,2014 Hyundai Verna 1.6 SX,hyderabad,70000 km•  Diesel,6.5,sedan,manual,individual,first-owner,white,['2014'],['Hyundai'],['Diesel'],['70000']
26,2019 Volkswagen Ameo 1.5 TDI Trendline,hyderabad,20000 km•  Diesel,6.5,sedan,manual,individual,first-owner,white,['2019'],['Volkswagen'],['Diesel'],['20000']
27,2015 Maruti Ciaz ZDi Plus,hyderabad,100000 km•  Diesel,7,sedan,manual,individual,first-owner,white,['2015'],['Maruti'],['Diesel'],['100000']
28,2015 Honda City i VTEC V,hyderabad,22000 km•  Petrol,7.25,sedan,manual,individual,first-owner,white,['2015'],['Honda'],['Petrol'],['22000']
29,2016 Maruti Ciaz VDi Plus SHVS,hyderabad,110000 km•  Diesel,6.9,sedan,manual,individual,first-owner,white,['2016'],['Maruti'],['Diesel'],['110000']
30,2015 Volkswagen Vento 1.5 TDI Highline,hyderabad,135000 km•  Diesel,7.5,sedan,manual,individual,first-owner,white,['2015'],['Volkswagen'],['Diesel'],['135000']
31,2015 Maruti Ciaz ZXi,hyderabad,41900 km•  Petrol•   Vidyanagar,6.49,sedan,manual,dealer,second-owner,white,['2015'],['Maruti'],['Petrol'],['41900']
