,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2015 Honda City 1.5 V MT,jaipur,60000 km•  Petrol•   Shyam Nagar,5.5,sedan,manual,dealer,first-owner,white,['2015'],['Honda'],['Petrol'],['60000']
1,2017 Maruti Ciaz VDi Plus,jaipur,87501 km•  Diesel•   Airport Sanganer,7.25,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],['87501']
2,2017 Hyundai Verna SX Opt Diesel,jaipur,40667 km•  Diesel•   Airport Sanganer,8.45,sedan,manual,dealer,first-owner,white,['2017'],['Hyundai'],['Diesel'],['40667']
3,2019 Volkswagen Ameo 1.2 MPI Highline Plus,jaipur,31000 km•  Petrol•   Civil Lines,5.75,sedan,manual,dealer,first-owner,white,['2019'],['Volkswagen'],['Petrol'],['31000']
4,2018 Maruti Ciaz 1.4 Alpha,jaipur,41000 km•  Petrol•   Malviya Nagar,8.5,sedan,manual,dealer,first-owner,white,['2018'],['Maruti'],['Petrol'],['41000']
5,2016 Maruti Swift Dzire VXI,jaipur,22537 km•  Petrol•   Shyam Nagar,5.95,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Petrol'],['22537']
6,2015 Hyundai Verna 1.6 CRDI SX Option,jaipur,75000 km•  Diesel•   Vaishali Nagar,6.45,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Diesel'],['75000']
7,2013 Honda City S,jaipur,36200 km•  Petrol•   Vaishali Nagar,6.25,sedan,manual,dealer,first-owner,white,['2013'],['Honda'],['Petrol'],['36200']
8,2014 Maruti Swift Dzire VDI,jaipur,73000 km•  Diesel•   Jaipur,5.5,sedan,manual,dealer,first-owner,white,['2014'],['Maruti'],['Diesel'],['73000']
9,2015 Maruti Swift Dzire VDI Optional,jaipur,63015 km•  Diesel•   Shyam Nagar,5.9,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Diesel'],['63015']
10,2012 Honda City 1.5 V MT Sunroof,jaipur,87000 km•  Petrol•   Jaipur,5.25,sedan,manual,dealer,first-owner,white,['2012'],['Honda'],['Petrol'],['87000']
11,2015 Ford Figo Aspire 1.2 Ti-VCT Trend,jaipur,49743 km•  Petrol,4.8,sedan,manual,dealer,first-owner,white,['2015'],['Ford'],['Petrol'],['49743']
12,2015 Maruti Swift Dzire VXI Optional,jaipur,62280 km•  Petrol•   Shyam Nagar,5.5,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Petrol'],['62280']
13,2015 Hyundai Verna 1.6 VTVT S,jaipur,76861 km•  Petrol•   Shyam Nagar,5.95,sedan,manual,dealer,first-owner,white,['2015'],['Hyundai'],['Petrol'],['76861']
