,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2016 Honda City V MT,kolkata,55000 km•  Petrol•   Council House Street,6.25,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Petrol'],['55000']
1,2016 Honda City i VTEC SV,kolkata,55161 km•  Petrol•   Kasba,5.75,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Petrol'],['55161']
2,2017 Honda City i-VTEC V,kolkata,20000 km•  Petrol•   Council House Street,7.5,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['20000']
3,2014 Toyota Corolla Altis 1.8 J,kolkata,42000 km•  Petrol•   Council House Street,5.95,sedan,manual,dealer,first-owner,white,['2014'],['Toyota'],['Petrol'],['42000']
4,2017 Honda City VX MT,kolkata,18000 km•  Petrol•   Salt Lake City,9.25,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['18000']
5,2012 Toyota Etios GD,kolkata,38000 km•  Diesel•   Kalighat,2.69,sedan,manual,dealer,first-owner,white,['2012'],['Toyota'],['Diesel'],['38000']
6,2017 Honda City i-DTEC V,kolkata,47100 km•  Diesel•   Vaishya Sabha,7.49,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Diesel'],['47100']
7,2012 Hyundai Verna 1.6 CRDI,kolkata,60000 km•  Diesel•   Kalikapur,3.89,sedan,manual,dealer,first-owner,white,['2012'],['Hyundai'],['Diesel'],['60000']
8,2016 Honda City i VTEC V,kolkata,55000 km•  Petrol•   Northern Avenue,6.25,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Petrol'],['55000']
9,2015 Maruti Swift Dzire VXI Optional,kolkata,30000 km•  Petrol•   Jadavgarh,4.75,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Petrol'],['30000']
10,2014 Honda Amaze S i-VTEC,kolkata,32687 km•  Petrol•   Kalikapur,3.75,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Petrol'],['32687']
11,2017 Honda City i DTEC V,kolkata,47000 km•  Diesel•   Vaishya Sabha,7.49,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Diesel'],['47000']
12,2019 Honda Amaze S i-DTEC,kolkata,43000 km•  Diesel•   Vaishya Sabha,5.99,sedan,manual,dealer,first-owner,white,['2019'],['Honda'],['Diesel'],['43000']
13,2019 Honda City i DTec VX,kolkata,8032 km•  Diesel•   Kolkatta GPO,12.25,sedan,manual,dealer,first-owner,white,['2019'],['Honda'],['Diesel'],['8032']
14,2017 Honda City VX MT,kolkata,27000 km•  Petrol•   Ballygunge,8.75,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['27000']
15,2017 Honda City VX MT,kolkata,14000 km•  Petrol•   Kolkatta GPO,8.75,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['14000']
16,2017 Honda City VX MT,kolkata,38980 km•  Petrol•   Kolkatta GPO,8.5,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['38980']
17,2010 Maruti Swift Dzire Vdi BSIV,kolkata,67000 km•  Diesel•   Kalighat,2.75,sedan,manual,dealer,first-owner,white,['2010'],['Maruti'],['Diesel'],['67000']
18,2019 Hyundai Verna 1.6 CRDi SX,kolkata,9000 km•  Diesel•   Ballygunge,9.75,sedan,manual,dealer,first-owner,white,['2019'],['Hyundai'],['Diesel'],['9000']
19,2016 Honda City i DTEC SV,kolkata,45000 km•  Diesel•   New Alipore,5.65,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Diesel'],['45000']
20,2015 Honda City i VTEC V,kolkata,57000 km•  Petrol,6,sedan,manual,individual,first-owner,white,['2015'],['Honda'],['Petrol'],['57000']
21,2017 Maruti Swift Dzire LDI,kolkata,15322 km•  Diesel,6.6,sedan,manual,individual,first-owner,white,['2017'],['Maruti'],['Diesel'],['15322']
22,2018 Hyundai Xcent 1.2 CRDi E,kolkata,70000 km•  Diesel,4.5,sedan,manual,individual,first-owner,white,['2018'],['Hyundai'],['Diesel'],['70000']
23,2011 Toyota Etios VX,kolkata,60000 km•  Petrol,3.5,sedan,manual,individual,first-owner,white,['2011'],['Toyota'],['Petrol'],['60000']
24,2018 Maruti Swift Dzire LDI,kolkata,90000 km•  Diesel,5,sedan,manual,individual,first-owner,white,['2018'],['Maruti'],['Diesel'],['90000']
25,2018 Honda Amaze E Option i-DTEC,kolkata,70000 km•  Diesel,4.5,sedan,manual,individual,first-owner,white,['2018'],['Honda'],['Diesel'],['70000']
26,2013 Mahindra Verito 1.5 D6 BSIV,kolkata,30000 km•  Diesel,4.5,sedan,manual,individual,first-owner,white,['2013'],['Mahindra'],['Diesel'],['30000']
27,2017 Tata Zest Quadrajet 1.3 75PS XE,kolkata,70000 km•  Diesel,3.5,sedan,manual,individual,first-owner,white,['2017'],['Tata'],['Diesel'],['70000']
28,2015 Hyundai Xcent 1.1 CRDi Base,kolkata,135000 km•  Diesel,2.5,sedan,manual,individual,second-owner,white,['2015'],['Hyundai'],['Diesel'],['135000']
29,2015 Hyundai Verna 1.6 SX VTVT (O),kolkata,42000 km•  Petrol•   Salt Lake City,5.25,sedan,manual,dealer,first-owner,silver,['2015'],['Hyundai'],['Petrol'],['42000']
30,2017 Hyundai Verna 1.4 VTVT,kolkata,19178 km•  Petrol•   Kasba,5.75,sedan,manual,dealer,first-owner,silver,['2017'],['Hyundai'],['Petrol'],['19178']
31,2016 Maruti Swift Dzire VDI,kolkata,80171 km•  Diesel•   Kasba,5,sedan,manual,dealer,first-owner,silver,['2016'],['Maruti'],['Diesel'],['80171']
32,2014 Hyundai Verna 1.6 SX VTVT (O),kolkata,46500 km•  Petrol•   Northern Avenue,5,sedan,manual,dealer,first-owner,silver,['2014'],['Hyundai'],['Petrol'],['46500']
33,2014 Maruti Swift Dzire VXi,kolkata,45000 km•  Petrol•   Kalikapur,3.99,sedan,manual,dealer,first-owner,silver,['2014'],['Maruti'],['Petrol'],['45000']
34,2014 Hyundai Verna 1.4 VTVT GL,kolkata,45000 km•  Petrol•   Ballygunge,4.5,sedan,manual,dealer,first-owner,silver,['2014'],['Hyundai'],['Petrol'],['45000']
35,2015 Honda City i VTEC S,kolkata,53617 km•  Petrol•   Kolkatta GPO,6,sedan,manual,dealer,first-owner,silver,['2015'],['Honda'],['Petrol'],['53617']
36,2014 Honda Amaze S Diesel,kolkata,44000 km•  Diesel•   Garia BT,3.73,sedan,manual,dealer,first-owner,silver,['2014'],['Honda'],['Diesel'],['44000']
37,2012 Volkswagen Vento 1.6 Comfortline BSIV,kolkata,52000 km•  Petrol•   New Alipore,2.99,sedan,manual,dealer,first-owner,silver,['2012'],['Volkswagen'],['Petrol'],['52000']
38,2012 Honda City 1.5 E MT,kolkata,29427 km•  Petrol•   Kalikapur,3.85,sedan,manual,dealer,first-owner,silver,['2012'],['Honda'],['Petrol'],['29427']
39,2015 Honda City i DTec VX Option,kolkata,45000 km•  Diesel•   Ballygunge,6.5,sedan,manual,dealer,first-owner,silver,['2015'],['Honda'],['Diesel'],['45000']
40,2016 Ford Figo Aspire Titanium Diesel BSIV,kolkata,65000 km•  Diesel•   Entally,4.41,sedan,manual,dealer,first-owner,silver,['2016'],['Ford'],['Diesel'],['65000']
41,2003 Honda City 1.3 DX,kolkata,80000 km•  Petrol•   Ramkrishna Park,1,sedan,manual,dealer,first-owner,silver,['2003'],['Honda'],['Petrol'],['80000']
42,2009 Maruti Swift Dzire VDI,kolkata,65000 km•  Diesel•   Entally,2.65,sedan,manual,dealer,first-owner,silver,['2009'],['Maruti'],['Diesel'],['65000']
