,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2018 Ford Figo Aspire 1.5 TDCi Titanium Plus,mumbai,2134 km•  Diesel•   Kasarvadavali,9,sedan,manual,dealer,unregistered,white,['2018'],['Ford'],['Diesel'],['2134']
1,2017 Ford Figo Aspire Titanium Plus BSIV,mumbai,5237 km•  Petrol•   Kasarvadavali,7,sedan,manual,dealer,unregistered,white,['2017'],['Ford'],['Petrol'],['5237']
2,2018 Ford Figo Aspire Trend Plus CNG,mumbai,5301 km•  CNG•   Kasarvadavali,7,sedan,manual,dealer,unregistered,white,['2018'],['Ford'],['CNG'],['5301']
3,2015 Skoda Rapid 1.5 TDI Elegance,mumbai,60000 km•  Diesel•   Borivali West,5.2,sedan,manual,dealer,first-owner,white,['2015'],['Skoda'],['Diesel'],['60000']
4,2014 Hyundai Verna SX Opt,mumbai,52000 km•  Petrol•   Borivali West,4.7,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Petrol'],['52000']
5,2012 Hyundai Verna 1.6 SX VTVT,mumbai,51599 km•  Petrol•   Jogeshwari West,4.95,sedan,manual,dealer,first-owner,white,['2012'],['Hyundai'],['Petrol'],['51599']
6,2016 Maruti Ciaz VXi Plus,mumbai,52178 km•  Petrol•   Jogeshwari West,6.3,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Petrol'],['52178']
7,2014 Hyundai Verna 1.6 SX VTVT,mumbai,46794 km•  Petrol•   Jogeshwari West,5.25,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Petrol'],['46794']
8,2011 Volkswagen Vento 1.5 TDI Highline AT BSIV,mumbai,54000 km•  Diesel•   Borivali West,3.65,sedan,manual,dealer,first-owner,white,['2011'],['Volkswagen'],['Diesel'],['54000']
9,2016 Honda City i VTEC VX,mumbai,54872 km•  Petrol•   Borivali West,7.75,sedan,manual,dealer,first-owner,white,['2016'],['Honda'],['Petrol'],['54872']
10,2017 Maruti Swift Dzire VDI,mumbai,29175 km•  Diesel•   Vitthalwadi,7.5,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],['29175']
11,2017 Maruti Ciaz VDi Plus SHVS,mumbai,56000 km•  Diesel•   Goregaon,7.35,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],['56000']
12,2018 Volkswagen Ameo 1.2 MPI Trendline,mumbai,38000 km•  Petrol•   Andheri East,4.75,sedan,manual,dealer,first-owner,white,['2018'],['Volkswagen'],['Petrol'],['38000']
