,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2018 Maruti Ciaz Alpha,new-delhi,20000 km•  Petrol•   Naraina,9.25,sedan,manual,dealer,first-owner,white,['2018'],['Maruti'],['Petrol'],['20000']
1,2018 Honda City 1.5 V MT,new-delhi,18000 km•  Petrol•   Defence Colony,8.85,sedan,manual,dealer,first-owner,white,['2018'],['Honda'],['Petrol'],['18000']
2,2018 Hyundai Verna VTVT 1.6 SX,new-delhi,16000 km•  Petrol•   Dhulsiras,9.45,sedan,manual,dealer,first-owner,white,['2018'],['Hyundai'],['Petrol'],['16000']
3,2017 Honda Amaze S Petrol BSIV,new-delhi,38737 km•  Petrol•   Ashok Nagar,4.5,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['38737']
4,2015 Honda City VX MT Diesel,new-delhi,32000 km•  Diesel•   Prashant Vihar,6.25,sedan,manual,dealer,first-owner,white,['2015'],['Honda'],['Diesel'],['32000']
5,2017 Honda City i-VTEC VX,new-delhi,42000 km•  Petrol•   Karol Bagh,9,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['42000']
6,2016 Toyota Corolla Altis G MT,new-delhi,45000 km•  Petrol•   Preet Vihar,9.65,sedan,manual,dealer,first-owner,white,['2016'],['Toyota'],['Petrol'],['45000']
7,2016 Maruti Ciaz VDi,new-delhi,42000 km•  Diesel•   Bengali Market,5.95,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],['42000']
8,2014 Honda Amaze S i-DTEC,new-delhi,65000 km•  Diesel•   Karol Bagh,3.4,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Diesel'],['65000']
9,2017 Maruti Swift Dzire VDI,new-delhi,20000 km•  Diesel•   Preet Vihar,6.25,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],['20000']
10,2017 Honda City 1.5 V MT,new-delhi,39000 km•  Petrol•   Jangpura,7.56,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['39000']
11,2017 Maruti Swift Dzire ZDI Plus,new-delhi,22000 km•  Diesel•   Ashok Vihar,7.35,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],['22000']
12,2015 Maruti Ciaz VXi Plus,new-delhi,31000 km•  Petrol•   Shalimar Bagh,6.59,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Petrol'],['31000']
13,2015 Honda Amaze S i-VTEC,new-delhi,45000 km•  Petrol•   Defence Colony,3.95,sedan,manual,dealer,first-owner,white,['2015'],['Honda'],['Petrol'],['45000']
14,2018 Skoda Rapid 1.6 MPI Ambition Plus,new-delhi,50000 km•  Petrol•   Rohini Sector-7,6.95,sedan,manual,dealer,first-owner,white,['2018'],['Skoda'],['Petrol'],"['50000', '7']"
15,2014 Honda Amaze S i-VTEC,new-delhi,49000 km•  Petrol•   Chittranjan Park,3.85,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Petrol'],['49000']
16,2012 Maruti Swift Dzire LXI,new-delhi,56000 km•  Petrol•   Preet Vihar,3.25,sedan,manual,dealer,first-owner,white,['2012'],['Maruti'],['Petrol'],['56000']
17,2017 Maruti Swift Dzire LXI,new-delhi,54047 km•  Petrol•   Prashant Vihar,4.05,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Petrol'],['54047']
18,2016 Toyota Corolla Altis Diesel D4DGL,new-delhi,11500 km•  Diesel•   Subhash Nagar,13.5,sedan,manual,dealer,first-owner,white,['2016'],['Toyota'],['Diesel'],['11500']
19,2017 Honda City V MT,new-delhi,36000 km•  Petrol•   Karol Bagh,7.75,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],['36000']
20,2012 Chevrolet Optra Magnum 1.6 LT Petrol,new-delhi,39000 km•  Petrol,3.5,sedan,manual,individual,first-owner,white,['2012'],['Chevrolet'],['Petrol'],['39000']
21,2012 Volkswagen Jetta 2.0L TDI Trendline,new-delhi,50000 km•  Diesel,4.25,sedan,manual,individual,first-owner,white,['2012'],['Volkswagen'],['Diesel'],['50000']
22,2012 Hyundai Verna 1.6 SX,new-delhi,74000 km•  Diesel,4.11,sedan,manual,individual,first-owner,white,['2012'],['Hyundai'],['Diesel'],['74000']
23,2018 Maruti Swift Dzire ZDI,new-delhi,50000 km•  Diesel,7,sedan,manual,individual,first-owner,white,['2018'],['Maruti'],['Diesel'],['50000']
24,2017 Tata Zest Revotron 1.2T XM,new-delhi,17800 km•  Petrol,3.91,sedan,manual,individual,first-owner,white,['2017'],['Tata'],['Petrol'],['17800']
25,2017 Honda City i VTEC V,new-delhi,9300 km•  Petrol,8.99,sedan,manual,individual,first-owner,white,['2017'],['Honda'],['Petrol'],['9300']
26,2019 Maruti Swift Dzire LXI 1.2 BS IV,new-delhi,100000 km•  Petrol,4.5,sedan,manual,individual,first-owner,white,['2019'],['Maruti'],['Petrol'],['100000']
27,2017 Maruti Swift Dzire ZXI Plus BS IV,new-delhi,42700 km•  Petrol,6,sedan,manual,individual,first-owner,white,['2017'],['Maruti'],['Petrol'],['42700']
28,2013 Hyundai Verna 1.6 SX,new-delhi,77000 km•  Diesel,4.85,sedan,manual,individual,first-owner,white,['2013'],['Hyundai'],['Diesel'],['77000']
29,2011 Maruti Swift Dzire VDi,new-delhi,87000 km•  Diesel,2.6,sedan,manual,individual,first-owner,white,['2011'],['Maruti'],['Diesel'],['87000']
30,2018 Honda City i-VTEC V,new-delhi,50000 km•  Petrol,9,sedan,manual,individual,first-owner,white,['2018'],['Honda'],['Petrol'],['50000']
