,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2017 Maruti Ciaz VDI SHVS,noida,56000 km•  Diesel•   Sector 16,5.99,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Diesel'],"['56000', '16']"
1,2017 Honda Amaze E i-Vtech,noida,25000 km•  Petrol•   Sector 16,4.75,sedan,manual,dealer,first-owner,white,['2017'],['Honda'],['Petrol'],"['25000', '16']"
2,2014 Honda City i DTEC SV,noida,54000 km•  Diesel•   Sector 16,5.65,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Diesel'],"['54000', '16']"
3,2019 Tata Zest Revotron 1.2T XE,noida,30000 km•  Petrol,4,sedan,manual,individual,first-owner,white,['2019'],['Tata'],['Petrol'],['30000']
4,2014 Honda City i DTEC V,noida,110000 km•  Diesel,5.3,sedan,manual,individual,first-owner,white,['2014'],['Honda'],['Diesel'],['110000']
5,2015 Honda Amaze VX i-DTEC,noida,70000 km•  Diesel,4.3,sedan,manual,individual,first-owner,white,['2015'],['Honda'],['Diesel'],['70000']
6,2015 Honda City i DTEC V,noida,70000 km•  Diesel,5.9,sedan,manual,individual,first-owner,white,['2015'],['Honda'],['Diesel'],['70000']
7,2012 Maruti Swift Dzire 1.2 Vxi BSIV,noida,80000 km•  Petrol,3.5,sedan,manual,individual,first-owner,white,['2012'],['Maruti'],['Petrol'],['80000']
8,2011 Hyundai Accent Executive,noida,77000 km•  Petrol,1.9,sedan,manual,individual,first-owner,white,['2011'],['Hyundai'],['Petrol'],['77000']
9,2012 Skoda Rapid 1.6 TDI Ambition,noida,120000 km•  Diesel,2.89,sedan,manual,individual,first-owner,white,['2012'],['Skoda'],['Diesel'],['120000']
10,2010 Fiat Linea Emotion,noida,120000 km•  Petrol,2,sedan,manual,individual,first-owner,white,['2010'],['Fiat'],['Petrol'],['120000']
11,2016 Honda City i VTEC V,noida,50000 km•  Petrol•   Naraina,6.75,sedan,manual,dealer,second-owner,white,['2016'],['Honda'],['Petrol'],['50000']
12,2019 Hyundai Verna 1.6 SX VTVT,noida,12000 km•  Petrol•   Preet Vihar,9.75,sedan,manual,dealer,second-owner,white,['2019'],['Hyundai'],['Petrol'],['12000']
13,2010 Skoda Superb Elegance 1.8 TSI AT,noida,50000 km•  Petrol•   Pandav Nagar,4.85,sedan,manual,dealer,second-owner,white,['2010'],['Skoda'],['Petrol'],['50000']
14,2014 Honda City i DTec V,noida,69000 km•  Diesel•   Rajouri Garden,4.75,sedan,manual,dealer,second-owner,white,['2014'],['Honda'],['Diesel'],['69000']
15,2012 Maruti Swift Dzire 1.2 Vxi BSIV,noida,43000 km•  Petrol•   Jangpura,3.33,sedan,manual,dealer,second-owner,white,['2012'],['Maruti'],['Petrol'],['43000']
