,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
0,2018 Ford Figo Aspire 1.5 TDCi Titanium Plus,pune,2134 km•  Diesel•   Kasarvadavali,9,sedan,manual,dealer,unregistered,white,['2018'],['Ford'],['Diesel'],['2134']
1,2017 Ford Figo Aspire Titanium Plus BSIV,pune,5237 km•  Petrol•   Kasarvadavali,7,sedan,manual,dealer,unregistered,white,['2017'],['Ford'],['Petrol'],['5237']
2,2018 Ford Figo Aspire Trend Plus CNG,pune,5301 km•  CNG•   Kasarvadavali,7,sedan,manual,dealer,unregistered,white,['2018'],['Ford'],['CNG'],['5301']
3,2016 Maruti Swift Dzire VDI Optional,pune,75000 km•  Diesel•   Hadapsar,6.8,sedan,manual,dealer,first-owner,white,['2016'],['Maruti'],['Diesel'],['75000']
4,2011 Volkswagen Jetta 2.0L TDI Highline,pune,75000 km•  Diesel•   Viman Nagar,6.35,sedan,manual,dealer,first-owner,white,['2011'],['Volkswagen'],['Diesel'],['75000']
5,2010 Maruti Swift Dzire Vdi BSIV,pune,80000 km•  Diesel•   Hadapsar,4,sedan,manual,dealer,first-owner,white,['2010'],['Maruti'],['Diesel'],['80000']
6,2011 Volkswagen Vento Diesel Highline,pune,118049 km•  Diesel•   Kondhwa,3.85,sedan,manual,dealer,first-owner,white,['2011'],['Volkswagen'],['Diesel'],['118049']
7,2013 Hyundai Verna 1.6 SX VTVT (O),pune,51200 km•  Petrol•   Viman Nagar,4.8,sedan,manual,dealer,first-owner,white,['2013'],['Hyundai'],['Petrol'],['51200']
8,2017 Maruti Swift Dzire VXI,pune,26697 km•  Petrol•   Pune Cantt East,6.2,sedan,manual,dealer,first-owner,white,['2017'],['Maruti'],['Petrol'],['26697']
9,2010 Ford Fiesta 1.6 ZXi Duratec,pune,60300 km•  Petrol•   Viman Nagar,2,sedan,manual,dealer,first-owner,white,['2010'],['Ford'],['Petrol'],['60300']
10,2016 Nissan Sunny XV,pune,36000 km•  Petrol•   Parvati,6.25,sedan,manual,dealer,first-owner,white,['2016'],['Nissan'],['Petrol'],['36000']
11,2010 Ford Fiesta 1.6 ZXI Duratec,pune,60300 km•  Petrol•   Viman Nagar,2,sedan,manual,dealer,first-owner,white,['2010'],['Ford'],['Petrol'],['60300']
12,2013 Hyundai Verna 1.6 SX,pune,88000 km•  Diesel•   Pimpri,5.25,sedan,manual,dealer,first-owner,white,['2013'],['Hyundai'],['Diesel'],['88000']
13,2018 Maruti Ciaz 1.4 Zeta,pune,37000 km•  Petrol•   N.C.L. Pune,8.01,sedan,manual,dealer,first-owner,white,['2018'],['Maruti'],['Petrol'],['37000']
14,2013 Hyundai Verna 1.6 EX VTVT,pune,23000 km•  Petrol•   Balewadi,4.85,sedan,manual,dealer,first-owner,white,['2013'],['Hyundai'],['Petrol'],['23000']
15,2013 Hyundai Verna 1.6 SX VTVT,pune,51000 km•  Petrol•   Viman Nagar,4.8,sedan,manual,dealer,first-owner,white,['2013'],['Hyundai'],['Petrol'],['51000']
16,2015 Maruti Ciaz ZDi SHVS,pune,78400 km•  Diesel•   Bibvewadi,6.8,sedan,manual,dealer,first-owner,white,['2015'],['Maruti'],['Diesel'],['78400']
17,2014 Honda City 1.5 S MT,pune,55000 km•  Petrol•   Kasarwadi,5.5,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Petrol'],['55000']
18,2014 Hyundai Xcent 1.2 Kappa S Option,pune,28000 km•  Petrol•   Balewadi,4.25,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Petrol'],['28000']
19,2014 Renault Fluence 1.5,pune,59364 km•  Diesel•   Baner,4.99,sedan,manual,dealer,first-owner,white,['2014'],['Renault'],['Diesel'],['59364']
20,2014 Hyundai Verna 1.6 SX VTVT,pune,68111 km•  Petrol•   Wakad,5.25,sedan,manual,dealer,first-owner,white,['2014'],['Hyundai'],['Petrol'],['68111']
21,2018 Maruti Swift Dzire ZXI Plus,pune,19000 km•  Petrol•   Ambarvet,7.65,sedan,manual,dealer,first-owner,white,['2018'],['Maruti'],['Petrol'],['19000']
22,2014 Honda City i DTEC SV,pune,89000 km•  Diesel•   Yerwada,5.75,sedan,manual,dealer,first-owner,white,['2014'],['Honda'],['Diesel'],['89000']
23,2017 Maruti Ciaz Alpha BSIV,pune,15000 km•  Petrol,7.9,sedan,manual,individual,first-owner,white,['2017'],['Maruti'],['Petrol'],['15000']
24,2012 Skoda Laura 1.8 TSI Ambiente,pune,83000 km•  Petrol,4.5,sedan,manual,individual,first-owner,white,['2012'],['Skoda'],['Petrol'],['83000']
25,2014 Ford Classic 1.4 Duratorq Titanium,pune,70000 km•  Diesel,4,sedan,manual,individual,first-owner,white,['2014'],['Ford'],['Diesel'],['70000']
26,2018 Maruti Swift Dzire LDI,pune,60000 km•  Diesel,6,sedan,manual,individual,first-owner,white,['2018'],['Maruti'],['Diesel'],['60000']
27,2018 Toyota Yaris G BSIV,pune,5750 km•  Petrol,10.5,sedan,manual,individual,first-owner,white,['2018'],['Toyota'],['Petrol'],['5750']
28,2016 Honda City i VTEC V,pune,23000 km•  Petrol,8,sedan,manual,individual,first-owner,white,['2016'],['Honda'],['Petrol'],['23000']
29,2017 Tata Indigo LX (TDI) BS-III,pune,31000 km•  Diesel,4.5,sedan,manual,individual,first-owner,white,['2017'],['Tata'],['Diesel'],['31000']
30,2019 Maruti Swift Dzire VXI 1.2 BS IV,pune,15000 km•  Petrol,6.55,sedan,manual,individual,first-owner,white,['2019'],['Maruti'],['Petrol'],['15000']
31,2014 Toyota Etios G,pune,58888 km•  Petrol,3.05,sedan,manual,individual,first-owner,white,['2014'],['Toyota'],['Petrol'],['58888']
32,2016 Hyundai Verna 1.6 CRDi SX,pune,90000 km•  Diesel,8.34,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Diesel'],['90000']
33,2017 Skoda Rapid 1.6 MPI Ambition BSIV,pune,34000 km•  Petrol,7,sedan,manual,individual,first-owner,white,['2017'],['Skoda'],['Petrol'],['34000']
34,2016 Hyundai Xcent 1.1 CRDi S,pune,77000 km•  Diesel,4.99,sedan,manual,individual,first-owner,white,['2016'],['Hyundai'],['Diesel'],['77000']
35,2011 Maruti Swift Dzire 1.2 Lxi BSIV,pune,42576 km•  Petrol,3.5,sedan,manual,individual,first-owner,white,['2011'],['Maruti'],['Petrol'],['42576']
36,2016 Tata Indigo LX (TDI) BS-III,pune,100000 km•  Diesel,2.5,sedan,manual,individual,first-owner,white,['2016'],['Tata'],['Diesel'],['100000']
37,2015 Volkswagen Jetta 2.0L TDI Highline,pune,67000 km•  Diesel,13,sedan,manual,individual,first-owner,white,['2015'],['Volkswagen'],['Diesel'],['67000']
38,2012 Maruti Swift Dzire Ldi BSIV,pune,113000 km•  Diesel,3.95,sedan,manual,individual,first-owner,white,['2012'],['Maruti'],['Diesel'],['113000']
39,2011 Toyota Etios VX,pune,70000 km•  Petrol,3.6,sedan,manual,individual,first-owner,white,['2011'],['Toyota'],['Petrol'],['70000']
40,2011 Volkswagen Vento Petrol Highline,pune,70000 km•  Petrol,4.5,sedan,manual,individual,first-owner,white,['2011'],['Volkswagen'],['Petrol'],['70000']
41,2017 Tata Zest Revotron 1.2T XM,pune,80000 km•  Petrol,4.5,sedan,manual,individual,first-owner,white,['2017'],['Tata'],['Petrol'],['80000']
42,2012 Maruti Swift Dzire Vdi BSIV,pune,115200 km•  Diesel•   Bibvewadi,4.25,sedan,manual,dealer,second-owner,white,['2012'],['Maruti'],['Diesel'],['115200']
43,2011 Ford Fiesta Petrol Titanium,pune,79000 km•  Petrol•   Wanowarie,2.4,sedan,manual,dealer,second-owner,white,['2011'],['Ford'],['Petrol'],['79000']
44,2013 Maruti Swift Dzire ZDi,pune,57000 km•  Diesel•   Fatima Nagar,5.7,sedan,manual,dealer,second-owner,white,['2013'],['Maruti'],['Diesel'],['57000']
45,2015 Hyundai Verna 1.4 CX,pune,82000 km•  Diesel•   Bibvewadi,5.75,sedan,manual,dealer,second-owner,white,['2015'],['Hyundai'],['Diesel'],['82000']
46,2011 Hyundai Verna 1.6 CRDI SX Option,pune,85000 km•  Diesel•   R P T S Khandala,4.25,sedan,manual,dealer,second-owner,white,['2011'],['Hyundai'],['Diesel'],['85000']
47,2013 Ford Classic 1.4 Duratorq LXI,pune,13816 km•  Diesel•   Parvati,2.75,sedan,manual,dealer,second-owner,white,['2013'],['Ford'],['Diesel'],['13816']
48,2009 Maruti Swift Dzire Vdi BSIV,pune,170000 km•  Diesel•   Chinchwadgaon,3.5,sedan,manual,dealer,second-owner,white,['2009'],['Maruti'],['Diesel'],['170000']
49,2011 Hyundai Verna Transform CRDi VGT ABS,pune,82000 km•  Diesel•   Bibvewadi,3.35,sedan,manual,dealer,second-owner,white,['2011'],['Hyundai'],['Diesel'],['82000']
50,2014 Hyundai Verna SX Opt Diesel,pune,85354 km•  Diesel•   Camp,6.1,sedan,manual,dealer,second-owner,white,['2014'],['Hyundai'],['Diesel'],['85354']
51,2015 Nissan Sunny Diesel XL,pune,67000 km•  Diesel•   Yerwada,4.35,sedan,manual,dealer,second-owner,white,['2015'],['Nissan'],['Diesel'],['67000']
